公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
杭州心书网络科技有限公司,心书,15-50人,天使轮,西湖区,python开发工程师,1-3年,本科,12k-18k,用你的手，敲出第一个自出版网站
杭州嘉云数据科技有限公司,Club Factory,150-500人,C轮,西湖区,Python 开发工程师,3-5年,本科,15k-25k,"弹性工作,周末双休"
即科金融信息服务（上海）有限公司,GeexFinance,150-500人,A轮,杨浦区,Python工程师,1-3年,本科,15k-30k,有挑战
北京基调网络股份有限公司,听云,150-500人,上市公司,朝阳区,Python研发工程师,3-5年,本科,17k-24k,上市公司 带薪年假 地铁周边
北京启明合心科技有限公司,合心科技,50-150人,B轮,海淀区,Python开发工程师,1-3年,本科,20k-35k,"大数据处理,自由度大,有挑战,公司午晚餐"
舞刀弄影文化传媒（厦门）有限公司,舞刀弄影,15-50人,天使轮,思明区,Python 工程师,1-3年,本科,15k-25k,"弹性工作,团队氛围好,前景广阔"
颐邦（北京）医院管理有限公司,颐邦科技,少于15人,天使轮,海淀区,Python研发工程师,1-3年,本科,15k-25k,"团队优秀,技术强,薪酬高,福利好"
上海众言网络科技有限公司,问卷网@爱调研,150-500人,B轮,徐汇区,Python开发师,3-5年,本科,15k-30k,"五险一金,季度旅游,节日福利,带薪年假"
上海速石信息科技有限公司,速石科技,少于15人,天使轮,杨浦区,python开发工程师,5-10年,本科,25k-40k,"精英团队,先进项目,环境优越,试用期全薪"
浙江天垂科技有限公司,TELETRAAN,15-50人,天使轮,滨江区,Python工程师,3-5年,本科,15k-30k,"弹性工作,硅谷团队,股权激励,全正版软件"
江曲投资咨询（上海）有限公司,Student.com,50-150人,C轮,静安区,Python开发工程师,3-5年,本科,15k-25k,活力团队，弹性工作，发展空间大
广州原力互娱网络科技有限公司,原力互娱,500-2000人,上市公司,天河区,python开发工程师,3-5年,大专,15k-20k,"上市公司,周末双休,包三餐,团队氛围好"
爱笔（北京）智能科技有限公司,Aibee,50-150人,天使轮,海淀区,Python开发工程师,3-5年,本科,20k-40k,"初创公司,技术驱动"
