公司全名,公司链接,公司简称,公司规模,融资阶段,区域,职位名称,学历要求,工作经验,薪资范围,职位福利,工作领域,工作类型,工作要求,办公地点,发布时间,是否全职,具体工作,地铁线路
中寰卫星导航通信有限公司,https://www.lagou.com/gongsi/10809.html,中寰卫星,500-2000人,不需要融资,海淀区,python开发工程师,本科,5-10年,15k-30k,六险一金；免费体检；节日福利；免费班车,移动互联网,[],2018-12-02 10:37:46,全职,后端开发,16号线_永丰;16号线_永丰南,职位描述：岗位职责：1、负责公司内部管理后台及商业化应用产品的开发；2、负责项目文档编写、配合测试人员进行软件测试，保证软件产品质量。任职资格：1、2年以上互联网行业Python开发经验；2、对Web后端技术架构和数据库有基本的理解; 对前端技术有一定了解;3、思维缜密、思路清晰，具备较好的逻辑分析能力；4、具备良好的沟通能力和口头、书面表达能力5、熟悉Linux/Unix环境， shell 命令；熟练使用GIT等代码管理工具;6、有大数据分析处理经验优先; 对Django框架熟悉者优先;7、有前端图表库使用经验者优先。,工作地址北京 -                    海淀区 -                    西北旺                                            - 丰豪东路四维图新大厦 C座6层                                                            查看地图
北京基调网络股份有限公司,https://www.lagou.com/gongsi/454120.html,听云,150-500人,上市公司,朝阳区,Python研发工程师,本科,3-5年,17k-24k,上市公司 带薪年假 地铁周边,移动互联网,[],2018-12-02 22:38:41,全职,后端开发,10号线_太阳宫;10号线_三元桥;机场线_三元桥,职位描述：岗位职责：1. 负责听云产品Server相关功能研发、改进、Bug修复及其他日常维护2. 编写单元测试用例，并配合测试部门编写及完善数据采集相关自动化测试用例岗位要求：1. 计算机相关专业，全日制大学本科及以上学历，英语读写良好。2. 熟知计算机原理，及编程相关知识。3. 3年及以上python经验，有经常阅读源代码更佳4. 熟练使用python经典特性，如生成器、闭包、装饰器等，以及monkey-pacth技术。5. 熟悉python WEB应用部署、开发技术 ，如django、tornado等。6. 理解HTTP协议、数据库等相关技术，具备良好的代码风格7. 善于思考，能独立分析和解决问题 8. 责任心强，具备良好的团队合作精神和承受压力的能力加分项：1. 熟练使用Java者优先2. 精通HTTP协议3. 精通python解释器原理，以及源代码等,工作地址北京 -                    朝阳区 -                    太阳宫                                            - 京顺路5号曙光大厦B座                                                            查看地图
爱笔（北京）智能科技有限公司,https://www.lagou.com/gongsi/320770.html,Aibee,50-150人,天使轮,海淀区,Python开发工程师,本科,3-5年,20k-40k,"初创公司,技术驱动","移动互联网,企业服务",[],2018-12-03 00:04:08,全职,后端开发,13号线_上地,职位描述：岗位职责后端基础架构和开发；提供高并发语音、图像、视频、自然语言处理和大数据分析请求的处理能力；海量数据存储平台搭建；任职要求具备python语言的项目开发经验；熟悉MySQL、Redis、Nginx、Flask框架；熟练使用Docker进行开发；了解elasticsearch、Prometheus；有一定的数据结构和算法基础。,工作地址北京 -                    海淀区 -                    西北旺                                            - 上地三街金隅嘉华大厦B座1201                                                            查看地图
北京闪银奇异科技有限公司,https://www.lagou.com/gongsi/29496.html,闪银奇异,500-2000人,D轮及以上,朝阳区,Python开发工程师,本科,1-3年,18k-35k,"全五险一金,牛人多,发展快,福利好","移动互联网,金融","['大数据', '数据挖掘']",2018-11-30 14:39:24,全职,后端开发,,职位描述：岗位职责：1、参与基于大数据的分布式机器学习平台的设计与构建；2、紧跟业界前沿，针对不断增长的业务需求和算法多样性创新提供技术解决方案；3、对机器学习平台性能与可扩展性进行持续及深度优化；4、负责管理平台及后端应用的开发维护及不断优化。任职要求：1、计算机、数学、统计学或相关专业，本科及以上学历；2、熟练掌握Python编程语言，熟悉Django等主流Web框架；3、熟悉常见的机器学习算法，逻辑回归、SVM、决策树、贝叶斯以及各种深度学习网络包括CNN、RNN、 LSTM等；4、熟练使用scikit-learn、TensorFlow等主流深度学习框架；5、有Hadoop，MapReduce，Spark，Storm，HBase，Kafka等开发经验者优先。,工作地址北京 -                    朝阳区                                            - 农展馆南路13号瑞辰国际中心8层801室                                                            查看地图
北京高域海汇科技有限公司,https://www.lagou.com/gongsi/282633.html,高域海汇,50-150人,不需要融资,朝阳区,Python开发工程师,本科,1-3年,12k-20k,"核心业务,行业大牛,弹性作息,超多福利",移动互联网,['新零售'],2018-11-30 10:42:18,全职,后端开发,8号线_北土城;8号线_奥体中心;10号线_牡丹园;10号线_健德门;10号线_北土城,,
北京涵德投资管理有限公司,https://www.lagou.com/gongsi/309884.html,涵德投资,15-50人,未融资,海淀区,Python开发工程师,本科,不限,10k-15k,公司发展快,金融,['投资/融资'],2018-11-26 18:18:10,全职,后端开发,4号线大兴线_北京大学东门;13号线_五道口;15号线_清华东路西口,,
颐邦（北京）医院管理有限公司,https://www.lagou.com/gongsi/452635.html,颐邦科技,少于15人,天使轮,海淀区,Python研发工程师,本科,1-3年,15k-25k,"团队优秀,技术强,薪酬高,福利好","医疗健康,硬件",[],2018-11-26 16:39:27,全职,后端开发,4号线大兴线_中关村;4号线大兴线_北京大学东门;4号线大兴线_圆明园;13号线_五道口,,
乐飞天下信息技术(北京)有限公司,https://www.lagou.com/gongsi/34214.html,乐飞天下,50-150人,未融资,朝阳区,python研发工程师,本科,应届毕业生,8k-12k,大数据；高并发；五险一金；技术培训；,"移动互联网,旅游","['旅游', '数据挖掘', '分布式', '服务器端']",2018-11-28 16:39:29,全职,后端开发,1号线_大望路;1号线_四惠;7号线_大郊亭;7号线_九龙山;14号线东段_大望路;14号线东段_九龙山,,
永杨安风（北京）科技有限公司,https://www.lagou.com/gongsi/490.html,LBE 科技,50-150人,B轮,朝阳区,Python研发工程师,本科,3-5年,20k-30k,"海外APP,社/公全额,海外团建,工作居住证",移动互联网,"['广告营销', '移动互联网', 'Golang', 'Java']",2018-11-30 10:35:08,全职,后端开发,1号线_四惠东;八通线_四惠东;八通线_高碑店,,
北京国双科技有限公司,https://www.lagou.com/gongsi/3038.html,Gridsum 国双,500-2000人,上市公司,海淀区,Python研发工程师,本科,1-3年,15k-25k,"六险一金,节日福利,带薪休假,餐补","数据服务,企业服务","['云计算', '移动互联网', 'JS', 'MySQL']",2018-11-28 17:01:12,全职,后端开发,,,
