order,url,city,company_name,wage,experience,education,time,company_size,work_type,company_type,company_location,job_required,company_welfare
1,https://jobs.51job.com/guangzhou-thq/109000594.html?s=01&t=0,广州-天河区,湖南潭州教育网络科技有限公司广州分公司,0.7-1万/月,无工作经验,大专,12-09发布,湖南潭州教育网络科技有限公司广州分公司诚聘,python讲师,民营公司,上班地址：广州市天河区东圃地铁站B出口创境汇盈科智谷2幢六楼606,【我们是谁？】我们是一家做了12年覆盖全球的互联网教育公司。【我们需要谁】1、负责线上绘画课程的基础教学工作，根据教学计划进行课程设计与授课；2、鼓励提升学员学习的自信心，促成学员报名VIP课程；3、热爱教育行业，对教学充满热情，擅长调动课堂气氛；【我们需要什么样的你】1.大专及以上学历，美术相关专业，一年及以上网络游戏行业设计经验优先；2.能够调动课堂气氛，激发学员对原画浓厚的报名兴趣，擅长人际沟通，观察和表达能力强，讲课生动；3.手绘能力好，具有扎实的美术功底，较好的素描造型能力和色彩控制及搭配能力；4.精通 Photoshop、Sai 等设计制作软件；5.语言表达流利，具有一定的演讲和宣传能力；【你关心的待遇】无责底薪5K-10K+业绩提成+五险一金+每天两顿工作餐(只要你能力够强，薪资多少你来定!)月休4天，法定节假日休息；完善的培训体系，专业的带薪培训，全面提升个人能力！【我们有什么】十二年悠久发展历史，总公司+分公司共3000+人规模，领先于同行业的优质资源和广阔平台；高级商务写字楼，环境舒适，靠近地铁站，交通便利；【前途如何】部门领导都是行业老手，姿势多，经验丰富。只要你愿意努力愿意学，毕生绝学全部教教教！舒服 12-6 10:30:42找工作很容易，但找一份能让你坚持做、努力做，当自己的事业来做的工作并不容易。所以，很多人频繁的换工作，却总找不到合适的，却把时间耗在找工作的路上！多年过去，回过头看看，却一事无成…潭州教育，十二年的光辉历程只要你有上进心，你是正能量的人！期待你加入我们的原画讲师！你需要有扎实的美术基础，和良好的美术审美；还要有根据插画，插图需求自行设计二次元，原画美术宣传效果图；并且可以在电脑上，纸上通过视频教学方式教授学员绘画技法。能力要求：1.有良好的手绘能力，擅长线稿表现，色彩表现，更重要的是具备细节刻画的能力；2.擅长画动漫二次元，游戏动漫；3.能够根据课程大纲，设计绘画教程；个人简历需附带个人美术作品，如无作品，概不回复,"['五险一金', '员工旅游', '交通补贴', '绩效奖金', '年终奖金', '专业培训', '出国机会']"
2,https://jobs.51job.com/beijing-cpq/108973792.html?s=01&t=0,北京-昌平区,北京万维盈创科技发展有限公司,0.8-1.5万/月,无工作经验,本科,12-09发布,北京万维盈创科技发展有限公司（简称万维盈创）是一家专业的环保物联网产品与解决方案提供商。公司成立于2004年10月，是北京市高新技术企业、中国环保产业协会信用等级评价“AAA”级企业。作为国内环保物联网领域的开拓者，公司业务围绕环境监测、环境信息化及环境应急领域的“产品+解决方案+服务”展开，提供标准化、系列化的产品，并根据用户的实际应用需求，提供定制化的总体解决方案与工程技术服务。核心业务包括：污染源监控、环境质量监测，VOCs监测，餐饮油烟监测与治理，放射源安全管理，行业应用软件平台等。官方网址： http://www.wanweitech.cn/简历投递邮箱：hr_wanweitech@126.com（邮件主题请注明:姓名+应聘职位）联系电话：010-81708898转人力资源部,Python开发工程师,民营公司,上班地址：北七家镇TBD云集中心,岗位职责：1.协助团队进行桌面应用开开发框架的搭建、设计及开发规划； 2.协助团队撰写设计开发及实现文档、流程； 3.完成软件的修改bug工作； 4.协助支持项目对产品的应用服务。岗位职责：1.计算机、软件等相关专业，精通 Python 语言，熟练使用Python主流GUI串口网络通讯开发框架2.熟练使用 ElasticSearch，熟悉索引结构设计和性能调优，3.精通io、多线程等基础框架，精通缓存、消息、寄存器等机制，熟悉TCP、UDP、串口通讯、Modbus等协议开发；4.拥有物联网平台开发设计经验，有高并发网络通讯、大数据管理开发经历者优先；5.熟悉SQL，熟悉Mysql、SQLite等；6.熟练版本管理与软件单元测试；7.认真踏实细致，有较好的团队协作精神和较强的产品质量意识，能承受工作压力。,"['年终奖金', '员工旅游', '定期体检', '专业培训', '交通补贴', '通讯补贴', '餐饮补贴', '一年加薪一次']"
3,https://jobs.51job.com/guangzhou-byq/108251021.html?s=01&t=0,广州-白云区,广州市华誉电脑系统有限公司,4.5-6千/月,1年经验,大专,12-09发布,"广州市华誉电脑系统有限公司（Welltitled Computer Systems Ltd.）是一家集科技、硬、软件技术服务于一体的信息技术管理顾问公司。 公司拥有多名专门从事企业信息管理系统设计、开发、集成、实施的工程专业技术人员和经验丰富的数据库管理以及数据处理的专业人员。 公司设立的系统开发与技术工程部、数据处理部、销售部、技术和售后服务部，培训团体, 能为客户提供一个技术先进、安全、并“一步到位”的信息管理系统以及数据库管理方案。",python测试工程师,民营公司,上班地址：广州市白云区远景路穗景大厦C座3楼3G," <span>1. </span><span>熟悉软件测试流程，掌握软件测试理论和方法；<span></span></span> <span>2. </span><span>快速深入理解产品需求，深入了解系统结构，有针对性的规划并执行好各项测试工作，包括功能测试、性能测试、可用性评估测试、可靠性评估测试等；<span></span></span> <span>3. </span><span>在测试各个环节与开发、产品等部门沟通并保证测试输入输出的正确性和完备性，并协助开发人员进行问题定位和解决；<span></span></span> <span>4. </span><span>执行具体测试任务并确认测试结果、缺陷跟踪、完成测试报告及测试结果分析；<span></span></span> <span>5. </span><span>完成产品缺陷验证和确认，对于难与重现的缺陷，需要完成可能性的分析与验证。<span></span></span> <span></span> <span>任职资格：<span></span></span> <span>1</span><span>、大专以上学历，<span>1</span>年以上开发或测试工作经验，有独立负责产品全流程质量保障测试经验；<span></span></span> <span>2</span><span>、熟悉软件开发过程<span>,</span>精通测试方案和用例设计、单元测试、集成接口测试、压力测试脚本设计、系统性能测试方法；<span></span></span> <span>3</span><span>、精通<span>python</span>，</span><span>熟练使用</span><span>Django</span><span>等框架</span><span>；<span></span></span> <span>4</span><span>、工作细致认真，有耐心，拥有较好的沟通技巧及团队合作精神，较强的责任感及进取精神。</span><span></span> ","['五险一金', '员工旅游', '绩效奖金', '年终奖金']"
4,https://jobs.51job.com/beijing-cpq/108738668.html?s=01&t=0,北京-昌平区,北京学神科技有限公司,1-1.5万/月,3-4年经验,大专,12-09发布,“学神IT教育”（网址：www.xuegod.cn）是北京学神科技有限公司旗下的在线教育品牌，是一家专注于IT在线教育服务领导品牌，由国内计算机行业多位教育专家共同创办。致力于培养、打造Linux云计算集群架构师及PHP&mysqlweb开发工程师方面的高级人才。是一家集技术咨询、技术开发、人才培养、职业规划和创业孵化于一体的高新技术公司。,Python开发工程师,民营公司,上班地址：昌平南邵,岗位职责：1.围绕项目开展教学工作；2.给学生讲授知识点技术点以及项目实现思路；3.模拟公司实施项目，以锻炼学生各方面的能力；4.为学生做就业指导（面试流程的讲解，模拟面试等）；任职资格：1、计算机或相关专业本科及以上学历。2、熟练掌握python语言。3、至少熟悉一种Python Web框架，如Django、Flask等。5、熟悉Linux操作系统。6、熟悉SaltStack/Ansible7、有自动化运维、监控报警项目开发经验优先。,"['弹性工作', '年终奖金', '绩效奖金', '专业培训', '周末双休']"
5,https://jobs.51job.com/beijing/108989384.html?s=01&t=0,北京,北京融联世纪信息技术有限公司,3-5万/月,无工作经验,本科,12-09发布,融360（www、rong360、com）北京融联世纪信息技术有限公司，成立于2011年10月，总部在北京，另在上海、深圳、天津设有区域中心。融360是融资贷款及信用卡的搜索、推荐与服务平台，为小微企业和个人消费者免费提供便捷、划算、安全的金融服务。融360团队全部由资深的互联网和金融人士组成，创始人团队行业经验全部在8年以上。团队均来自美运通、百度、宁波银行、阿里巴巴等国内外知名大公司。 公司已于2012年2月完成A轮大规模资金的融资，由光速创投、KPCB、清科创投三家著名VC投资。并于2013年7月完成B轮融资，由红杉中国基金领投，A轮三家风险投资公司跟投；于2014年7月完成C轮融资，由新加坡淡马锡集团旗下公司领投；并于2015年10月完成D轮10.35亿元融资，由云峰赛领领投， Star VC——黄晓明、李冰冰、任泉、章子怡、黄渤等组团参与此次投资。至此公司估值超过10亿美金。我们热诚的希望在互联网或者金融服务界有丰富的经验者、愿意加入创业团队，愿意为梦想而奋斗的，有良好的学习能力，能够随着公司一同快速成长的朋友们加入我们。关于我们公司的状况您可登陆www.rong360.com查看更多的信息。,Python研发负责人(001066)(职位编号：rong360001066),民营公司,上班地址：时代网络大厦,"1.负责RC系统整体规划工作,负责团队工作；2.负责风控系统在线服务的设计、优化和研发工作；3.负责线上服务的性能分析，并进行调优，保障线上服务的稳定性；4.负责风控大数据平台的开发工作。1.精通Python，熟练使用Flask/Django/Tornado等web框架；2.具备扎实的计算机理论基础，有较强的数据结构及算法基础，熟悉多进程/多线程开发模式；3.熟悉使用 MySQL、Redis、Mongodb 等常用数据库；4.具有优秀的团队合作和沟通协作能力，善于学习，能承受较大的工作压力；加分项：有高并发web开发经验者优先；有 MapReduce/Hadoop/Hbase/Spark等相关经验者优先。",[]
6,https://jobs.51job.com/beijing-cyq/105265228.html?s=01&t=0,北京-朝阳区,北京道冲泰科科技有限公司,15-20万/年,5-7年经验,本科,12-09发布,北京道冲泰科科技有限公司（DCTK）是欧美大地科技集团（ETG）旗下的一家以研发和生产土木工程安全监测仪器以及提供系统解决方案的高新企业。公司位于北京市朝阳区，主要产品包括智能采集仪、智能传感器、智能测斜仪、一体化野外安全监测站系统集成产品和云服务平台等，产品主要用于：■水利电力：水库、大坝、堤防、岩质高边坡、引水隧道与地下厂房监测■交通运输：桥梁、隧道、地铁、港口、边坡与填方工程监测■地质灾害：滑坡、泥石流、崩塌、地面沉降与岩溶塌陷监测■矿山开采：巷道、露天边坡、矿井、矿柱与尾矿库监测■石油化工：输油（气）管道、大型油气储备工程监测■核电工程：核岛基础与安全壳、核废料储存库监测■民用建筑：基坑、桩基础与高层建筑物监测■环境监测：垃圾填埋场、地下水监测DCTK成立时间虽短，但凭借着研发工程师们的努力，以及母公司欧美大地科技集团深厚的资源支持，DCTK已迅速称为行业中崛起的新秀。在已经完成的监测项目中，DCTK的产品以超高的稳定性和超精准的数据采集赢得客户的认可与支持。未来，我们将研发出更多优质产品，为我们的客户提供更加全面优秀的服务。DCTK目前正处于高速发展的阶段，我们正在寻觅更多优秀的人才！我们的团队年轻而高效，我们的前途无可限量！欢迎你加入我们的大家庭中，与我们并肩作战，一起书写DCTK辉煌的未来！DCTK网站目前正在建设中，如果想了解更多信息，可查询母公司欧美大地的网站：www.epccn.com    www.epc.com.hkDCTK母公司——欧美大地科技集团简介欧美大地成立于1987年，是全球最先进的土工检测设备以及项目解决方案的供应商。集团总部设在中国香港，中国大陆地区总支持中心设在广州。目前公司在全国共有11个分公司，分别位于广州、北京、上海、南京、成都、西安、沈阳、武汉、深圳、福州和济南。ETG现在拥有超过200位经验丰富的员工，可以为客户提供全方位的服务。凭借多年来广大客户的支持和信任，以及ETG员工们的奉献精神，ETG目前已经成为行业内规模最大、产品系统最丰富、服务***的企业。,全栈python开发工程师,合资,上班地址：北京市朝阳区酒仙桥中路26号鸿运大厦801,"<b>工作描述:</b>* 为桥梁、隧道、地铁等施工建设过程开发安全监测web平台* 为公司研发的监测传感器开发测试及管理平台* 为行业用户开发SaaS产品* 开发数据可视化仪表板组件* 维护产品和代码* 实现产品新功能* 编写符合规范的代码，应用良好的软件工程实践方法<b>任职要求</b>* 较强的Python开发实施能力，有Flask开发经验更好* 有基于Python的web产品开发经历* 良好的SQL和数据库知识* 熟悉Linux* 理解***工程实践，良好编码规范，能够符合PEP-8,习惯Pylint等工具* 经常编写单元测试* 性格随和，容易沟通，需要经常参加设计讨论和代码评审   <span>* </span><span>有项目管理经验更好</span><span></span>","['五险一金', '补充医疗保险', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '定期体检', '专业培训', '绩效奖金']"
7,https://jobs.51job.com/guangzhou-hzq/102145705.html?s=01&t=0,广州-海珠区,广东优德科技有限公司,0.5-1万/月,无工作经验,大专,12-09发布,广东优德科技是一家专业从事软件定制、软件开发、软件实施的高新技术企业，专注于互联网与移动互联网的应用研究与开发，在电子商务、行业平台、网站平台、App、微信、CDN等领域有广泛的应用和服务。公司拥有一批从事项目策划、软件开发、软件定制、软件服务的专业团队，具有雄厚的技术开发实力，能够全方位满足政府、高校、企事业单位等信息化和定制化需求。,Python工程师,民营公司,上班地址：新港西路135号中大科技园A座1303,<b>岗位要求： </b>1、负责搭建以及维护爬虫系统，负责数据的抓取、解析、清洗、入库、更新等；负责爬虫的性能优化工作；2、负责各种自动化脚本、中间件等的开发和维护；3、熟悉Python编程，熟悉JavaScript、正则表达式、XPath等信息抽取技术，熟悉抓包分析请求并模拟；4、熟悉运用Linux操作系统，了解HTTP、TCP/IP、网络编程，了解进程、线程等概念，能独立解决简单常见的问题；5、了解分布式架构，有爬虫经验优先，熟悉scrapy、pyspider等者优先；6、 掌握C/C++/Java/Python/Go等其他编程语言的优先；<b>工作环境：</b>1. 我们是一个以技术为主的团队，技术氛围活泼；2. 团队大部分都是90后，轻松好玩；3. 办公室处于广州中大门口，中大地铁出口2分钟即达，交通方便；4. 上班时间人性化，不强制考勤；5. 常备下午茶和各种零食，不定期团建活动；,"['五险一金', '绩效奖金', '年终奖金', '股票期权', '弹性工作']"
8,https://jobs.51job.com/guangzhou-thq/108817835.html?s=01&t=0,广州-天河区,广州艾米会电子商务有限公司,1.2-1.8万/月,3-4年经验,本科,12-08发布,艾米会成立于2014年，是一家将生态稻田+人工智能技术结合的国家高新技术企业，通过制定生态稻田标准化和人工智能、卫星遥感、无人机等技术进行整合，打造智能稻田共享平台。核心研发团队源自中国工程院、华南理工大学和广东省农业科学院等知名科研机构，拥有以中国工程院院士领衔，加州大学访问学者、水稻种植专家、人工智能专家、物联网及自动化专家组成的团队，团队成员曾参与过神舟飞船、国家自然科学基金（图像识别）、农业部十大主推技术研发等项目。用长达四年的时间，通过对现代精细农业、智能农业、生态农业相结合的战略和科技发展研究，实现了生态水稻方向的全产业链智能生态种植科研和成果落地。使用物联网技术及田间智能机器对生态水稻（种植、灌溉、有机肥、病害、虫害、草害、土壤、气象、农资等)大数据进行全方位监测和采集，由专家团队进行建模及大数据分析，进行人工智能海量数据训练，深度挖掘水稻生长全过程数据，进行图像识别，建立水稻***生长模型，水稻需水、需肥、病害、虫害、草害规律图，实时生成稻田长势及病虫害的可视化智能管理界面，提供病虫害防治指导、作物植保、灌溉施肥、农机调配方案，实现生态农业无人化作业，打造自主知识产权的天空地一体化智能系统。总部位于广州，下设艾米农场、艾米农业产业研究院、艾米生态人工智能等子公司，已建设有广州生态农业标准化实验室（广东省农科院联合建设）、广州天河水稻大数据工程技术中心、广州从化人工智能示范农业公园和位于各地的自有标准化生态水稻智能实验基地（增城、清远、东莞、深圳、江门、湖北中国农谷、贵阳花溪等），实现了农业智能化管理。艾米通过智能农业管理体系，得以在种植全过程中不使用任何化学农药、化肥、除草剂等化学物质，且在生产过程中不使用防腐剂等添加剂，实现了大米的安全、营养和新鲜。艾米将市场运作与产学研紧密结合，所种植的艾米胚芽米，已成为广东省名牌产品，并受到了众多城市家庭的认可。在种植阶段就被城市家庭预定，实现了定单式农业，从而创建了艾米生态稻田+按需生产模式。艾米会创建智能稻田共享平台，为稻田插上人工智能“芯片”，对遍布全国的传统稻田进行生态智能升级，提升稻田的生产效率，缓解劳动力短缺的问题，零农药、零化肥，零除草剂，保护土壤、水源等自然环境。借鉴中国台湾、日本先进休闲农业经验，基于生态稻田上，为乡村引入旅游、文化、艺术等多元化产业，实现一二三产相融合的现代农业体系，为农民增收、乡村增绿，为乡村带来更多就业岗位，使农民成为令人羡慕的职业，最终实现激活乡村经济，振兴乡村。,Python开发工程师,民营公司,上班地址：龙口西路1号保利中辰广场A座2101室,"岗位职责：1、人工智能相关系统的开发。任职要求：1、精通Python相关的后台开发技术，掌握至少一种Python后端框架（如Flask/Django/Tornado等）, 熟悉RESTful API设计规范；2、熟悉常用的数据结构及算法, 深入理解HTTP/TCP/WebSocket等网络协议, 了解物联网协议MQTT更佳；3、熟练掌握MySQL/MongoDB等数据库的使用, 以及Redis/Memcached缓存技术, 了解图数据库Neo4j更佳；4、熟悉Linux系统, 精通Nginx的配置及部署, 掌握Supervisor/Gunicorn/uWSGI的使用;5、具有云计算平台的使用经验（如阿里云/腾讯云/AWS等）, 对docker技术有一定的了解;6、具有3年以上的开发经验，能够流畅地阅读英文文档, 可以独立完成技术架构、概要设计、详细API设计及编码、进行代码审查及文档撰写;7、熟练使用git版本控制工具, 具有良好的代码规范;8、加分项: 对深度学习或数据挖掘相关知识有所了解。","['周末双休', '五险一金', '专业培训', '节日福利', '带薪年假', '年度体检', '员工家属福利', '年度加薪']"
9,https://jobs.51job.com/guangzhou-hzq/96816025.html?s=01&t=0,广州-海珠区,广州逗号智能零售有限公司,1-1.8万/月,3-4年经验,本科,12-08发布,广州逗号智能零售有限公司成立于2017年9月，是一家专注在零售领域的人工智能公司，逗号智能零售创始之初获得黑洞资本投资。现已推出多款人工智能结账台、智能门禁和会员识别系统。经过一年的快速发展，逗号智能零售已经拥有一支经验丰富的技术团队，其中人工智能算法、大数据处理、软件应用开发员工数接近50人，核心成员均为硕士或博士资历。已申请了近百项专利，包括外观、手势支付、重量校验、商品CV识别等。目前逗号智能零售已与腾讯、微信支付、方圆商业地产、周黑鸭、雪贝尔、新加坡电信等知名品牌长期合作，逗号智能零售已经实现赋能多家实体商店，产品运营稳定，解决方案获得合作伙伴的高度肯定。愿景利用人工智能为零售行业降本增效目标：打造国内最大的智能（AI）零售网络零接触购物体验在逗号智能零售专利技术加持下的便利店，消费者可全程不使用手机、不触摸任何店内设备即可完成购物过程，真正享受到充满科技感与未来感的全程“零接触”购物体验。▲逗号智能零售核心技术优势逗号智能零售通过基于人工智能的计算机图像/视觉识别技术研发的人脸识别、视觉识别、手势支付等三个核心专利技术，打造真正“零接触”购物体验。●人脸识别：直接站在店门口即可实现“刷脸”进店。●视觉识别：可直接通过摄像头识别商品种类、数量并统计价格。●手势支付：可直接通过“点赞”或“OK”等手势完成付款。▲ 逗号智能零售产品● 立式智能结账台计算机图像识别技术，无需改造产品和供应链开放式识别空间，放置、拿取易操作视觉增强算法的图像处理技术，识别准确率在98%以上活体检测的人脸认证，安全可靠触摸屏设计增加顾客互动体验全天候广告屏，实现商家对顾客的精准营销● 挂式智能（CV）结账台IPS多点触控高清屏计算机图像识别技术，无需改造供应链支持扫描二维码商品识别内嵌热敏打印机，支持小票打印刷脸支付、扫码支付两种方式，更便捷● 轻式结账台IPS多点触控高清屏幕，精美画质支持主流的扫描条形码、二维码识别方式支持扫脸支付、手机扫码支付，方便快捷智能语音提示，操作简单采用热敏打印机，支持小票打印安装方式多样化：挂壁式、台式、立式● 刷脸会员识别机可根据商家环境上下左右调节可以接入商家会员系统搭载活体检测摄像头，可实现人体动态3D跟踪，实现数据和采集一体化对接现有收银台系统即可使用整合刷脸支付技术●智能门禁由逗号智能零售自主研发，拥有完全知识产权，带有人脸识别开门功能，能分布式识别十万级数量人脸，人脸识别时间少于1秒。门内整合一体化大尺寸屏幕，能给用户实时反馈，兼容RFID和RF防盗检测。▲ 逗号智能零售大事记●2017年9月，逗号智能零售获得黑洞资本天使轮融资●2017年11月，逗号智能零售推出RFID版无人便利店，并首创具有防盗功能的一体化人脸识别门禁●2017年12月，逗号智能零售推出第一家基于人工智能技术改造的便利店，可降低人力成本达50%以上●2018年1月，逗号智能零售推出第一家采用计算机图像/视觉识别技术、手势支付技术、第一家拥有“零接触”购物体验的便利店●2018年3月，逗号智能零售作为唯一智慧零售合作伙伴参加微信支付大会，得到众多商家青睐●2018年4月，逗号智能零售受腾讯邀请参加福州首届数字中国建设峰会，受到CCTV，人民网的主动报道●2018年4月，与腾讯建立合作关系，改造腾讯IMAGE礼品店●2018年5月，通过逗号智能零售技术加持的周黑鸭*微信支付智慧门店落地深圳前海路●2018年5月，再次受腾讯邀请与腾讯同台参与贵阳大数据博览会展出，受到政府与媒体的高度关注●2018年7月，逗号智能零售先后签约腾讯、周黑鸭、每日优鲜、南威软件集团、方圆商业地产等企业，与其保持良好的合作●2018年8月，逗号智能零售首家海外工程亮相新加坡电信创新中心，逗号智能产品技术接受新加坡国家领导检阅●2018年9月，与华南地区烘焙领军品牌雪贝儿达成战略合作协议●2018年9月，中国科学家论坛授予《2018中国科技创新领军企业》、《2018中国科技创新创业优秀企业家》奖●2018年11月，雪贝儿首家智能烘焙店落地广州科学城●2018年11月，中国财经峰会授予《2018年度智能创新奖》▲ 员工福利：1、双地铁 （3号线广州塔、8号线磨碟沙），4分钟免费接驳大巴，交通便利；2、试用期购买六险一金，公积金按入职薪资公司/个人12%购买；3、周末双休，7.5小时工作制，弹性工作制；4、视岗位福利结构提供餐费补贴、交通补贴；5、公司配备咖啡机、零食货架，不定期下午茶；6、不定期员工活动；7、关键岗位配双屏工作站；8、年度体检；9、享受法定假期。联系我们：  hr@commasmart.com,Python应用工程师（业务系统方向）,民营公司,上班地址：广州市海珠区琶洲大道83号宝地广场302房,岗位职责：1.负责公司业务平台及嵌入式系统的应用开发；2.参与需求分析，进行大数据相关应用软件相关的设计、开发、调试、测试等；3.与硬件工程师及后端工程师调试。 岗位要求：1、熟练掌握基础数据结构和python语言；2、3年以上服务器端或嵌入式开发经历；3、熟悉常用的开源web框架，如tornado，flask，django等；4、熟悉数据库技术，mysql、mongodb、redis，熟悉 Nginx 等应用服务器软件；5、深刻理解 Web 应用相关的标准，网络通信协议和网络安全的***实践；6、扎实的计算机科学基础知识，熟悉操作系统，数据库、常见数据结构和算法，以及软件设计实践；7、熟悉 Linux/Unix 操作系统。,"['五险一金', '餐饮补贴', '弹性工作', '周末双休', '双地铁', '免费班车', '定期体检']"
10,https://jobs.51job.com/beijing/105111236.html?s=01&t=0,北京,叠云（北京）科技股份有限公司,1.2-1.5万/月,无工作经验,本科,12-08发布,"叠云（北京）科技股份有限公司（股票代码：871400,简称：叠云股份)是联想集团直接投资专注于“可视云计算”的整体方案提供商，隶属于联想创投集团，致力于与云巨头合作伙伴共同构建“云电脑生态圈”。叠云股份成立于2007年，总部位于北京，是国内最早一批从事桌面虚拟化、私有云解决方案研发的企业之一。叠云股份拥有强大的技术研发团队，近几年来获得了几十项软件专利和著作权，并将产品广泛应用在教育信息化领域、企业办公领域。为了能够更好地服务客户，叠云股份携手合伙伙伴在全国所有省份建立“云方案服务中心”，采用先进的O2O模式贴身为客户提供“一站式保姆服务”，为客户创造价值。叠云的使命是携手大家，共享云计算的未来！",Python高级开发工程师,民营公司,上班地址：朝阳区北苑天畅园6号楼23层,岗位职责：1、进行电子教室后台部分研发2、进行云端运维系统的研发3、与终端团队配合进行产品联调4、编写维护自动化脚本5、解决北京测试测试，深圳测试，联想测试发现的问题职位要求：1、精通python开发；2、熟悉linux shell脚本开发；3、熟悉nodejs开发；4、熟悉mysql，mongodb常用命令；5、了解c，c++开发过程；6、团队协调能力强；7、本科及以上学历；至少3年工作经验。,"['五险一金', '定期体检', '周末双休']"
