carname,officialprice,carfuelc,brand,MIITfuelc,displacement,rank,gearbox,cartype,ranking,carstrength,configuration,major,ownerevaluate,price,versions1,versionsp1,versions2,versionsp2
smart fortwo,11.68-30.89万,5.00-11.80L/100km,smart,4.20-5.20L/100km,"['0.9T', '1.0L', '1.0T', '纯电动']",微型车,['双离合'],软顶敞篷车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分45.0,较弱,测试中,优秀,一般, 2018款 基本型,未上市, 2018款 1.0L 52千瓦巧克力特别版,13.0888万
smart forfour,12.58-22.08万,5.10-12.00L/100km,smart,暂无信息,"['0.9T', '1.0L']",微型车,['双离合'],两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分44.7,较弱,测试中,优秀,一般, 2017款 Crosstown Edition,停售, 2017款 0.9T 66千瓦挚爱特别版,停售
比亚迪F0,3.79-4.79万,5.20-6.60L/100km,比亚迪,4.20L/100km,['1.0L'],微型车,['手动'],两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分35.7,较弱,测试中,较弱,良好, 2015款 1.0L 手动 铉酷型 ,3.79万, 2015款 1.0L 手动 悦酷型 ,4.19万
奥拓,4.18-6.19万,5.20-8.30L/100km,铃木,3.60-4.00L/100km,['1.0L'],微型车,"['手动', '自动']",两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分37.2,较弱,测试中,较弱,优秀, 2016款 1.0L AT 豪华型炫动版,6.19万, 2015款 1.0L MT 限定型,停售
奇瑞QQ,3.79-5.09万,5.50-5.80L/100km,奇瑞,暂无信息,['1.0L'],微型车,"['手动', '手自一体']",两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分37.2,较弱,测试中,一般,良好, 2015款 基本型,未上市, 2013款 1.0L 手动活力版 ,3.79万
北斗星X5,4.69-5.19万,6.20-6.70L/100km,铃木,暂无信息,"['1.0L', '1.4L']",微型车,['手动'],两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分40.0,较弱,测试中,优秀,优秀, 2015款 1.4L 领航版 国V,5.19万, 2015款 1.4L 巡航版 国IV,停售
奔奔,4.09-5.69万,6.30-8.50L/100km,长安汽车,暂无信息,['1.4L'],微型车,['手动'],两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分41.7,较弱,测试中,良好,良好, 2015款 敞篷版,即将上市, 2015款 1.4L MT 豪华型 国IV ,停售
北斗星,3.99-4.49万,6.70-7.00L/100km,铃木,4.00-6.40L/100km,"['0.8L', '1.0L', '1.1L', '1.2L', '1.4L']",微型车,['手动'],两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分35.6,较弱,测试中,良好,良好, 2016款 EV,未上市, 2015款 1.4L 手动全能升级型,停售
奔驰S级,86.38-173.28万,7.40-13.00L/100km,奔驰,9.40-23.10L/100km,"['2.0T', '3.0L', '3.0T', '3.5L', '4.0T', '4.7T', '5.5L', '5.5T', '6.0T']",大型车,['手自一体'],硬顶跑车,该车车实力评分高于25%同级别车系查看详情,82.3,优秀,优秀,优秀,一般, 2019款 S 320 L,未上市, 2018款 S 560 e AMG Line,未上市
奥迪A8L,87.68-256.80万,7.50-14.00L/100km,奥迪,9.10-20.00L/100km,"['2.0T', '2.5L', '2.8L', '3.0T', '3.2L', '4.0T', '4.2L', '6.0L', '6.3L']",大型车,['手自一体'],三厢车,该车车实力评分高于50%同级别车系查看详情,83.4,良好,优秀,优秀,一般, 2018款 55 TFSI quattro豪华型,107.28万, 2018款 55 TFSI quattro投放版精英车型,87.68万
宝马7系,82.80-248.80万,9.00-12.30L/100km,宝马,8.50-13.60L/100km,"['2.0T', '3.0L', '3.0T', '4.0T', '4.4T', '6.0T', '6.6T']",大型车,['手自一体'],三厢车,该车车实力评分高于75%同级别车系查看详情,86.9,优秀,优秀,优秀,较弱, 2018款 M760Li xDrive 卓越奢华版,248.8万, 2018款 M760Li xDrive,248.8万
雷克萨斯LS,82.40-119.60万,9.10-11.10L/100km,雷克萨斯,9.30-13.50L/100km,"['3.5L', '4.6L', '5.0L']",大型车,['手自一体'],三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分56.5,良好,测试中,良好,一般, 2018款 500h 豪华版,103.9万, 2018款 500h 行政版,119.6万
捷豹XJ,88.80-106.80万,10.00-12.30L/100km,捷豹,10.50-15.70L/100km,"['2.0T', '3.0L', '3.0T', '3.5L', '4.2L', '5.0L', '5.0T']",大型车,['手自一体'],三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分54.7,良好,测试中,一般,一般, 2017款 XJR575,未上市, 2016款 XJL 3.0 SC 璀璨臻藏版,停售
