公司状态,公司规模,链接,职位,薪资,地址,经验,学历,公司名,公司类型,联系人,职务,时间
已上市,10000人以上,https://www.zhipin.com/job_detail/eaaec8791aa26df11Xx-2NS8E1U~.html,Python,25k-50k,北京 朝阳区 望京,5-10年,本科,阿里巴巴集团,互联网,戴官宏,招聘者,发布于10月23日
D轮及以上,10000人以上,https://www.zhipin.com/job_detail/40e5b48ae110a9f81HV62dm8GFU~.html,Python,20k-40k,北京 海淀区 北京大学,经验不限,本科,今日头条,移动互联网,张杨涛,招聘者,发布于12月09日
已上市,10000人以上,https://www.zhipin.com/job_detail/1ea24fe41f1925291nRz0t69EVE~.html,Python,15k-30k,北京 海淀区 西北旺,经验不限,本科,百度,互联网,李政,招聘者,发布于12月06日
已上市,10000人以上,https://www.zhipin.com/job_detail/3ca7802c2c678fb71XJ839q7GVA~.html,Python,40k-50k,北京 朝阳区 望京,5-10年,本科,阿里集团,移动互联网,杨晨,招聘者,发布于09月17日
C轮,1000-9999人,https://www.zhipin.com/job_detail/7dbf05564030964a1HR42Ni8E1U~.html,Python,20k-30k,北京 海淀区 中关村,3-5年,本科,旷视科技,移动互联网,F先生,移动开发,发布于11月24日
不需要融资,500-999人,https://www.zhipin.com/job_detail/27c87ee2739d950c1HR-3t--FlM~.html,python工程师,15k-30k,北京 朝阳区 团结湖,3-5年,本科,中方信富,互联网金融,方亚楠,人事专员,发布于11月29日
已上市,1000-9999人,https://www.zhipin.com/job_detail/42db2756750a587b1XN539-_E1M~.html,Python,20k-40k,北京 海淀区 北京大学,1-3年,硕士,爱奇艺,互联网,雷威,招聘者,发布于10月01日
不需要融资,100-499人,https://www.zhipin.com/job_detail/daadf3287abc01d41XJ62dS1E1Q~.html,Python,25k-50k,北京 朝阳区 常营,3-5年,本科,拿云智成,互联网,赵杨,招聘者,发布于09月07日
D轮及以上,10000人以上,https://www.zhipin.com/job_detail/4d2cf6e2e885511a1XV60t67ElI~.html,Python,25k-40k,北京 海淀区 双榆树,1-3年,本科,今日头条,移动互联网,陈杰,工程师,发布于05月30日
A轮,500-999人,https://www.zhipin.com/job_detail/7ea565cc290f201d1X192Ny_GVI~.html,python,20k-40k,北京 海淀区 清河,3-5年,本科,千锋互联科技,在线教育,李海宁,招聘者,发布于11月15日
D轮及以上,10000人以上,https://www.zhipin.com/job_detail/0e141339ff44e0751HR42d-_EFE~.html,Python,30k-60k,北京 海淀区 知春路,3-5年,本科,今日头条,移动互联网,徐秀丽,招聘者,发布于11月23日
已上市,10000人以上,https://www.zhipin.com/job_detail/748e99363f53f18f1XJ52Nq_ElA~.html,Python,25k-50k,北京 海淀区 马连洼,1年以内,本科,百度,互联网,张驰,招聘者,发布于12月06日
A轮,100-499人,https://www.zhipin.com/job_detail/5abed50fdcfdd3461XN83di8GFQ~.html,Python,20k-40k,北京 海淀区 世纪城,经验不限,本科,海知智能,互联网,李媛媛,招聘者,发布于10月10日
C轮,1000-9999人,https://www.zhipin.com/job_detail/dacb23b5117958091HR40t24EFc~.html,python,15k-30k,北京 朝阳区 望京,3-5年,本科,云校,互联网,王女士,招聘者,发布于11月26日
天使轮,0-20人,https://www.zhipin.com/job_detail/7d7378d92c1c2be31nN43Ni6F1U~.html,Python,20k-35k,北京 海淀区 魏公村,1-3年,本科,一起竞赛网,在线教育,刘志军,CTO,发布于12月01日
A轮,1000-9999人,https://www.zhipin.com/job_detail/2c3c8a332a7478681Xx52d-9FFI~.html,Python,30k-50k,北京 海淀区 上地,1-3年,本科,百度金融,互联网,张会奇,招聘者,发布于10月22日
已上市,1000-9999人,https://www.zhipin.com/job_detail/5123950f3d1c20851nZz29-4EFc~.html,Python,15k-30k,北京  ,3-5年,本科,金风科技,计算机软件,陈工,团队主管,发布于07月28日
未融资,100-499人,https://www.zhipin.com/job_detail/59f8500113ffb0171XJ42NS1F1A~.html,python,10k-16k,北京 海淀区 中关村,1-3年,本科,云智汇信息,企业服务,叶强,人事招聘,发布于09月11日
D轮及以上,1000-9999人,https://www.zhipin.com/job_detail/bcb9a2e1707c57ad1XB_29W5EVA~.html,Python,20k-40k,北京 海淀区 万柳,3-5年,本科,饿了么,O2O,吴先生,招聘者,发布于08月10日
已上市,10000人以上,https://www.zhipin.com/job_detail/d4f1b15eb47cce721X1929W7FVE~.html,Python工程师,15k-20k,北京 朝阳区 建国路,1-3年,本科,和信信息,互联网金融,赵浩宇,招聘经理,发布于11月14日
C轮,100-499人,https://www.zhipin.com/job_detail/720b4fed5091a9371XF_3NS_EFs~.html,Python,15k-30k,北京 海淀区 上地,3-5年,本科,中睿天下,互联网,胡书玲,人事部经理,发布于11月01日
已上市,100-499人,https://www.zhipin.com/job_detail/0287ee75a5b46d931X180929ElU~.html,Python,18k-36k,北京 朝阳区 三元桥,3-5年,本科,智美体育集团,其他行业,梁女士,全民健身大数据平台总监,发布于11月14日
天使轮,100-499人,https://www.zhipin.com/job_detail/c77c1a909031c5131XNy2du8EVc~.html,Python,20k-40k,北京 海淀区 上地,3-5年,本科,Aibee,互联网,高敏,招聘者,发布于11月15日
已上市,10000人以上,https://www.zhipin.com/job_detail/0974919197dc9ec11nJ929i-FVo~.html,Python,20k-40k,北京 朝阳区 亚运村,5-10年,本科,京东集团,电子商务,宋增超,招聘者,发布于12月06日
已上市,10000人以上,https://www.zhipin.com/job_detail/2471b68bc348a9211HR92ti9GVY~.html,python开发,12k-16k,北京 朝阳区 望京,3-5年,大专,博彦科技,计算机软件,徐媛媛,招聘者,发布于12月03日
