houskeyword,rent,housetype,area,payment,district,tage,orientation,decoration,towertype,heating,rentway,looktime,tradingarea,metor
中日友好医院，惠新西街南口，对外经贸大学，温馨舒适，拎包入住,6300,2室1厅,65,押2付3,樱花园,中楼层/6层,南北,精装,板楼,集中供暖,整租,随时看房,惠新西街,距离地铁惠新西街南口398米
樱花园，惠新西街南口，中日友好医院，对外经贸大学，随时可看,5300,1室1厅,50,押2付3,樱花园,中楼层/16层,南,精装,塔楼,集中供暖,整租,随时看房,惠新西街,距离地铁惠新西街南口398米
安德里北街柳荫公园 黄寺大街2号院 精装2居室 看房有钥匙,7200,2室1厅,54.93,押1付3,安德里北街24号院,低楼层/6层,南北,精装,板楼,集中供暖,整租,随时看房,安定门,距离地铁安德里北街256米
13号线龙泽回龙观霍营 龙泽苑通达园天慧园,13000,5室2厅,192,押1付3,通达园,顶层/6层,南北,精装,板楼,自供暖,整租,随时看房,回龙观,距离地铁龙泽893米
朝阳东坝首开常青藤看房随时,10000,3室2厅,156,押2付3,首开常青藤四期,底层/6层,南,毛坯,板楼,,整租,随时看房,东坝,
三居两卫 紧邻地铁包物业取暖 精装修 看房需联系所属人有钥匙,7200,3室2厅,135,押1付3,龙泽苑东区,中楼层/11层,南北,精装,塔楼,集中供暖,整租,随时看房,龙泽,距离地铁龙泽720米
惠新里精装两居 南北向 5/10号线 业主直租 对外经贸大学,6300,2室1厅,60,押1付3,惠新里,中楼层/6层,南北,精装,板楼,集中供暖,整租,随时看房,惠新西街,距离地铁惠新西街南口502米
红星楼 精装两居室 配套齐全 随时看,4000,2室1厅,54,押2付3,红星小区,中楼层/4层,南北,精装,板楼,,整租,随时看房,旧宫,
稻香园北社区 朝南大主卧,3800,1室1厅,45,押2付3,稻香园北区,高楼层/6层,南,精装,板楼,集中供暖,整租,随时看房,苏州桥,距离地铁苏州街869米
整租 · 近地铁、带电梯、精致一居、随时可看！,5500,1室1厅,45,押1付3,新奥洋房,顶层/11层,西,精装,板楼,自供暖,整租,随时看房,永定门,距离地铁景泰188米
惠新西街南口 小关北里 精装一居室 随时看房,4600,1室1厅,46,押1付3,小关北里,底层/5层,东南,精装,板楼,集中供暖,整租,随时看房,惠新西街,距离地铁惠新西街南口487米
玉泉营 三环新城 大一居室 户型好 下楼就是地铁,5300,1室1厅,65,押2付3,三环新城7号院,中楼层/31层,南,中装,板楼,自供暖,整租,随时看房,玉泉营,距离地铁丰台站451米
角门西旭日嘉园精装一居室.业主人很好.想找爱惜房子的租户,4700,1室1厅,44.41,押1付3,旭日嘉园,高楼层/24层,北,精装,塔楼,集中供暖,整租,随时看房,马家堡,距离地铁角门西211米
龙泽苑东区 开间 包物业取暖 拎包入住,5000,1室1厅,58,押2付3,龙泽苑东区,低楼层/11层,北,精装,塔楼,集中供暖,整租,随时看房,龙泽,距离地铁龙泽720米
有研宿舍 业主直租 一居室 城建大厦有钥匙,6500,1室1厅,58,押1付3,有研宿舍,低楼层/14层,南,精装,板楼,,看房时间：随时看房,商圈：马甸,地铁：距离地铁牡丹园769米,
6号线常营 柏林爱乐南北正规两居 随时看房,7500,2室1厅,103.12,押1付3,柏林爱乐二期,中楼层/11层,南北,精装,板楼,集中供暖,整租,随时看房,管庄,距离地铁常营892米
业主着急出租精装修三居室,6000,3室1厅,70,押1付3,西罗园四区,顶层/6层,南北,精装,板楼,集中供暖,整租,随时看房,西罗园,距离地铁北京南站952米
