,city,salary,skill_type,company_name,company_size,company_type,company_description,company_location,job_required,edu_required,experience_required,company_welfare,other
0,北京,0.8-1万/月,Python实习-机器学习方向,寰宇优才教育科技（北京）有限公司,150-500人,民营公司,						寰宇优才教育科技（北京）有限公司					,新文化大街,						（能力不足，但有Python开发意向者，可放宽要求提供实习岗位）1.本科以上学历，有良好的数学基础和逻辑建模能力；2.深入理解诸如回归、分类、聚类等机器学习领域的基本概念；3.熟悉推荐引擎、自然语言处理、语音识别、图像识别、人脸识别、神经网络等人工智能领域的相关算法；4.熟练掌握Python语言；5.熟练使用Numpy、Scipy、Matplotlib、Pandas等数值计算库；6.熟练使用sklearn、nlp、opencv等机器学习工具包；7.具有一定的深度学习研发背景，熟悉至少一种深度学习框架，如：TensorFlow、Caffe、Theano、Keras、ConvNet、Torch等；8.在至少一个领域有深入的研究，如：深度神经网络、语义分析、模式识别、机器视觉、量化金融等；9.在强化学习领域有丰富的项目经验及算法实现能力者优先考虑；10.善于分析问题、解决问题，具备丰富的想象力、卓越的学习能力和创造性思维能力，具有良好的团队协作精神，怀有推动人工智能不断发展的理想和使命感。																		,######,无工作经验,五险一金补充医疗保险补充公积金员工旅游交通补贴出国机会年终奖金绩效奖金定期体检弹性工作,招6人
1,北京,2-4万/月,Python开发工程师,进化时代科技（北京）有限责任公司,少于50人,民营公司,						New Bloc加密资产投行，由一群来自于牛津、清华、北大、中科院的AI、区块链、金融、互联网小伙伴创立。New Bloc专注于加密资产行业投行业务，包括一级市场投资、孵化及二级市场量化交易。New Bloc押注加密资产金融生态基础设施赛道，目标成为加密资产投行第一名。目前，New Bloc已与主流交易所达成深度合作，在韩国、俄罗斯、东南亚布局，并将在2018，加速全球化。New Bloc期待与你一起改变世界，帮助更多人，实现财务自由。					,信息路18号上地创新大厦3层3049,						【岗位职责】： <span>1.在做市商及<span>AI量化交易模拟、回测、实盘系统搭建中，负责相关功能模块设计，开发及单元测试； <span>2.协助并快速定位及解决开发及运行过程中的技术问题； <span>3.能按计划有效且高质量的完成分配的任务； <span>4.能与其他部门进行有效的沟通； <span>5.积极了解公司业务，并参与相应的会议提供建议。  【任职要求】： <span>1.全球<span>TOP500高校毕业，硕士以上学历，计算机科学与技术专业，英语读写能力强； <span>2.精通<span>Python，有扎实的编码能力、规范的代码质量和严谨的代码风格； <span>3.三年以上工作经验； <span>4.为人严谨、谦逊，有迅速的学习能力、极强的独立思考能力、领悟能力和逆商，有良好的团队合作能力。  有以下专长<span>/经验者优先<span>: <span>1.有量化交易系统开发经验优先； 2.<span>精通C++<span>优先； <span>3.具有金融数据分析开发经验优先； <span>4.有机器学习经验者优先。																		,硕士,3-4年经验,绩效奖金年终奖金弹性工作出国机会七险一金股票期权高速成长,招1人
2,北京,1.5-2万/月,Python开发工程师,麦田春雪科贸（北京）有限公司,50-150人,民营公司,						麦田春雪科贸(北京)有限公司成立于2011年，致力于电商事业发展，建立起“街触”电商实体商场平台，为商场提供全方位的电商解决方案，建立起人和商场之间的联系，使商场真正成为人们休闲、购物、娱乐、生活、社交的中心。同时为用户提供个性化的、被尊重的服务。开创下一代的购物+服务的电商体验。同时创业中的，还有农业电子上商务项目，让农业主及时快速实惠的卖出农产品，让城里用户优惠便捷的买到新鲜的农产品。公司团队由各大电商公司高管组成，专业是我们的核心优势，敬业是我们的基本职业素养，对电商行业有清晰透彻的认识，现公司整合各方资源，启动前程远大项目，诚邀各路精英加盟，携手共赢，开创未来。					,小营路五号四方大厦,						岗位职责：1. 负责基于Python的数据爬取、数据分析、数据处理、数据开发等工作；      2. 负责基于Python/Java机器学习模型封装、部署、上线，并负责测试和维护；      3. 参与数据挖掘和建模      岗位要求：      1. 本科及以上学历，计算机，电子信息工程及相关专业毕业；      2. 精通Python，熟练掌握Java和SQL（必备），有常用开源框架使用经验，熟悉常见的缓存技术；      3. 掌握多线程、多进程编程，具备优秀的编程能力，在常用功能实现方面有自己独到的设计；      4. 学习领悟能力强，具备高度的责任心及团结协作精神，善于交流；      5. 具有相关开发经验者优先；  																		,本科,3-4年经验,弹性工作五险一金专业培训绩效奖金,招2人
3,北京,1-1.5万/月,Python算法工程师,中经网数据有限公司,150-500人,国企,						中经网数据有限公司是国家信息中心控股的有限公司，成立于1996年6月，承担中国经济信息网（www.cei.gov.cn）的运行维护与经营工作。公司具有经济研究、计算机与网络通信的专业技术队伍员工260人，平均年龄30岁，90%为大学以上学历，近50人拥有高级职称。中国经济信息网是以提供经济信息为主要业务的专业性信息服务网络，继承了国家信息中心多年来的丰富的信息资源和信息分析经验，利用自主开发的专网平台和互联网平台，为金融机构、高等院校、企业集团、研究机构及海内外投资者提供宏观经济、行业经济、区域经济、法律法规等方面的动态信息、统计数据和研究报告，帮助其准确了解经济发展动向、市场变化趋势、政策导向和投资环境，为其经济管理和投资决策提供强有力的信息支持，是互联网上最大的中文经济信息库，是描述和研究中国经济的权威网站。					,外经贸大厦7层,"						工作职责<span>: <span>1. 研究和开发文本处理算法从网页、文章、报表等文本中提取结构化数据。 <span>2. 维护并改进公司已有的文本处理算法。 <span>3. 参与公司数据处理流水线的建设。 <span>4. 和业务人员有效沟通，紧密协作，为业务人员处理和统计业务分析所需数据。   任职要求： <span>1. 计算机及相关专业本科或以上学历。<span>  <span>2. 熟悉算法、数据结构、数据库和设计模式等开发基础知识。<span>   <span>3. 精通<span>Python语言编程，有较强的算法分析和设计能力。 <span>4.  了解并能使用常见的文本处理方法和工具，包括不限于分词，词性标注，命名实体识别，句法分析。 <span>5. 熟悉正则表达式，有文本类数据分析和处理的实际经验。 <span>6.  具有良好的分析问题和解决问题的能力，思路清晰，逻辑能力强，善于解决具有挑战性的问题。<span>    加分项： <span>1. 熟悉常见的机器学习算法和模型。 <span>2. 有良好的数学和统计学能力，以及数据分析和挖掘经验。 3. <span>熟悉Spark<span>及Hadoop<span>生态，有Spark Streaming, Spark MLlib/ML<span>等技术的实际开发经验。 <span>4. 创建或参与贡献开源项目<span>,  或有技术博客及积极参与技术论坛和问答社区。<span> 																		",本科,无工作经验,餐饮补贴五险一金年终奖金定期体检员工旅游,招10人
4,北京,1.3-2万/月,Python开发工程师,苏州闻道网络科技股份有限公司,150-500人,民营公司,						苏州闻道网络科技股份有限公司（www.winndoo.com）成立于2009年，专业从事搜索引擎优化系统的设计和开发，为客户定制搜索引擎营销整体解决方案，实现大数据时代的精准网络营销。闻道核心服务包括：搜索引擎服务、电商优化、品牌广告设计、公关与媒介，可满足客户全方位的需求。作为行业领先的搜索优化服务供应商，闻道成立至今已为300多家国内外大型企业提供专业的搜索引擎优化服务，涵盖金融、汽车、美妆、快消、互联网、服饰等热门行业，其中前程无忧、新浪、荣威、方太、渣打银行等行业知名品牌均选择闻道作为长期优化服务商。闻道拥有智能SEO优化系统等多项具有自主知识产权的核心技术，独有的谷歌百度关键字库目前已成功优化上万个关键词的搜索排名。闻道总部设于苏州，在北京、上海、广州均设有业务中心。公司现拥有150人精英团队，CEO袁学文曾任职于国际贸易全球门户eBay易趣网，其他核心成员来自微软、HP等跨国互联网公司，具有10年以上SEO、SEM、网络营销以及大中型网站运维推广实战经验，可为客户制定和实施***优化策略，获得最大的投资回报。目前，闻道已与百度，谷歌等搜索引擎媒体，以及昌荣传播、华扬联众等60个广告知名公司战略合作，成为广告公司的指定解决方案供应商，并且携手200多个合作代理，共同助力客户进行全方位的优质网络营销。未来，闻道将以更加专业的技术和优质的服务引领行业前行！总部地址：苏州工业园区旺墩道135号恒宇广场三期11层上海办事处：上海市普陀区岚皋路597号品尊十八英尺3楼10单元					,马家堡西路15号时代风帆大厦,						岗位职责：1、负责产品的系统设计和架构分析，参与核心模块的代码编写；2、负责效率工具的后台开发工作，具体包括各种需求分析、文档撰写、设计编码、测试运维、效果追踪等工作；3、负责高质量的设计和编码，承担重点、难点的技术攻坚；    任职要求：1、1年以上Python开发经验，本科及以上学历；2、精通Mysql/MongoDB/Redis等的性能调优；3、有良好的学习能力，擅于钻研某方面技术；4、细致认真，善于沟通，能和团队融洽相处；5.有AI相关经验者优先；6.精通LNMP者优先。																		,大专,1年经验,五险一金餐饮补贴绩效奖金年终奖金,招1人
5,北京,1.5-2万/月,高级python开发工程师,北京中体骏彩信息技术有限公司,150-500人,国企,						北京中体骏彩信息技术有限公司成立于2009年6月25日，是由中体彩科技发展有限公司（国家体育总局体育彩票管理中心控股子公司）及香港马会业务创展（中国）有限公司（香港赛马会在香港的全资子公司）共同设立的中外合作企业。公司作为中国体育竞猜彩票的独家技术服务商，以促进竞彩业务的发展为宗旨，负责规划、设计、开发满足中国体育竞猜彩票需求的技术平台，并提供高效安全、具有高可用性的系统及能够促进业务持续稳定发展的专业服务。主要承担的服务内容包括：搭建体育竞猜彩票综合业务平台，提供专业技术服务；搭建符合国家政策和业务需要的非现金投注平台并提供专业技术服务；提供体育竞猜彩票的软件开发、安装调试、维护和升级服务；建设账户投注系统以及灾难危机处理系统和技术支持方案等。公司分设系统运维部、系统支援及维护部、信息安全组、产品服务部、架构组、研发一部、研发二部、测试部、技术管理部、内审部、人力资源部、财务部、综合部等13个部门，员工总数300余人，其中96%以上员工具有本科及以上学历。公司尊重员工，视每一位员工都是创造者和人才，并针对不同群体制定贴合需求、切实可行的培训计划。针对新员工，我们采取一对一的辅导模式，并制定详细的试用期培养计划，促使新员工尽快融入团队，独立开展工作；针对老员工，我们采取内训、外训、内部分享相结合的方式，帮助员工不断提升业务知识水平和专业技能。					,华威里10号鹏龙大厦4层,						  Cloud、容器化、微服务、DevOps、自动化、Engineering Productivity、敏捷、CI/CD...  <span>   <span>这些名词是不是强烈吸引着你的注意力？  <span>   我们正在敏捷开发类似阿里云效的产品级自动化平台。该平台基于微服务架构并采用互联网流行新技术，支持公司各类大型互联网产品开发周期中大部分工作流，涉及CI/CD、各类自动化测试、环境管理、自动化部署、监控等。  <span>   <span>我们需要紧跟互联网技术发展步伐、致力于提升自己的不甘平凡的你，一起开发出让我们引以为荣的产品。  <span>   <span>   <span>岗位职责：  <span>   平台各类微服务架构、开发以及平台自身的CI/CD、DevOps  <span>   <span>任职要求：  1、3年以上后台开发经验，以Java或Python为主  2、熟悉Linux和数据库知识  3、进取心强，较强的分析、学习能力  4、较好的沟通能力  5、有互联网/微服务开发、测试自动化框架开发、DevOps、vCenter、Kubernetes等平台所需经验更佳  6、本科及以上学历，计算机相关专业<span>																		,本科,3-4年经验,五险一金补充医疗保险餐饮补贴通讯补贴交通补贴绩效奖金年终奖金弹性工作定期体检专业培训,招5人
6,北京,2-2.5万/月,Python教学研发经理,北京八维研修学院,1000-5000人,民营公司,						北京八维集团创立于1996年，是集产业、教育、研究及人力资源服务于一体的综合性企业集团。位于中关村上地信息产业园，拥有二十万平方米独立园区。八维教育是国内新型教育的先行者和开拓者，推出 “∏型人才工程计划”，以强大的就业优势，打造中国第一就业品牌。拥有八维研修学院、八维培训中心、八维大学生实训中心等多家教育机构。教育培训领域涉及软件开发、计算机网络、动画艺术、广告艺术、建筑学院、英语及俄语翻译；教育层次包括专本科、研究生学历教育和职业教育。作为北京地区最大的专业教育基地。八维教育拥有员工超过2000名，每年培养学生超过10000名，就业学生遍布全国。八维教育已经发展成为多层次多领域的综合性“集团军”，资产超十亿元。八维教育是一个充满生机，快速发展的教育集团，为每一名有志投身教育事业的优秀人才提供广阔的个人职业发展平台和良好的工作氛围，并以完善的薪酬体制和优厚的福利待遇为保障，真诚欢迎有志之士加盟！					,北京市海淀区上地软件园57号（路南）八维研修学院,						任职要求：1，具有3年以上python相关开发经验，熟悉设计模式；2，数据结构和算法基础扎实，熟悉C++等编程语言；3，深入了解Http协议和web登录认证机制，熟悉web前端，可读懂js代码；4，熟悉MySql、Oracle、Redis、MongoDB等数据库的开发与应用；熟悉Linux常用命令；5，熟悉搜索引擎原理，了解大数据相关技术，有爬虫或大型分布式系统相关工作经验；6，掌握网页抓取原理及技术，了解基于Session的登录原理，熟悉基于正则表达式、XPath、CSS等网页信息抽取技术；7，了解多线程、多进程、网络通信编程相关知识，有过海量数据爬取经验、清洗项目经验；岗位职责：1、研究行业技术，为教学提供技术支持。2、做项目案例。3、研发相关配套的技术教学资料。4、做教学标准化相关工作。																		,大专,3-4年经验,五险一金餐饮补贴绩效奖金,招3人
7,北京,0.7-1.4万/月,Python工程师,新华书店总店,500-1000人,国企,"						新华书店总店1937年4月24日成立于延安，1951年1月1日由新华书店总管理处改制而成中央一级国有图书总发行单位,现为中国出版集团重要成员。新华书店总店曾经作为全国新华书店的最高管理机构，对各地分、支店的人、财、物实行集中统一管理，自成立以来累计发行图书45亿册、码洋250亿余元，为中国出版物发行事业壮大和文化市场的繁荣与发展做出了重要贡献。新华书店总店在新时期的发展目标是：努力成为传播社会主义先进文化的重要阵地;努力成为引领和促进中国发行产业转型发展的重要力量;努力成为中国出版集团公司改革发展的重要生力军;努力成为具有创新能力和可持续发展能力的现代企业。战略发展思路是：以资产运营、产业创新、品牌经营、人才强企为主体战略，围绕“产业转型升级”的工作中心，开拓资产运营和科技创新两条发展路径，利用资产、科技、人才三个抓手，推进发展模式创新、产业链条创新、体制机制创新和组织结构创新，实现产业转型现代化、资产运营集约化、资本运营专业化、品牌经营创新化、人才队伍高端化突破。新华书店总店下设办公室、计划财务部、人力资源部、事业发展部、资产经营部、党群工作部、老龄工作部等部门及新华互联电子商务有限责任公司、新华国采教育网络科技有限责任公司、新华万维国际文化传媒（北京）有限公司、新华维邦文化资产管理有限责任公司、北京新华文博物业管理有限公司、北京新华数创传媒科技发展有限公司、新华书店成都有限公司。《国际出版周报》、《科技新书目》、《图书馆报》、《全国大中专教学用书汇编》等产品在业界有广泛的影响力。依靠传统媒体和渠道资源，总店规划设计“中国新华发行网”、“全国大中专教材网络采选系统”，将成为总店转型发展的重要平台。总店努力盘活存量资产，目前正按照北京规划拟将北礼士路135号院43亩土地及近四万平米建筑打造成为一流的“文化+科技+金融”的产业园区，为推进总店转型发展创造条件。所属公司：1.新华互联电子商务有限责任公司新华互联电子商务有限责任公司是由新华书店总店出资，以中国新华发行网项目建设为核心的电子商务企业。公司围绕“立足出版、服务文化、服务产业”的宗旨，以“建立起适应互联网与移动互联网时代环境的全品种、优质化的出版物发行电商平台，形成‘文化+科技’，线上营销、线下体验的O2O的出版物发行新模式，成为具有强大媒体影响力和核心竞争力的现代化企业”作为发展目标。2.新华国采教育网络科技有限责任公司互联网教育信息与教育资源服务商。 公司通过全国大中专教材网络采选系统，为出版发行行业、中高等教育师生、全体网民提供教育信息传播范围及教育资源获取服务。公司以互联网、移动互联网、大数据、云计算技术为基础，颠覆教材选购的传统体系，改变知识传播方式，努力实现教育公平，全面构建“互联网+”的未来教育新时代。3.新华万维国际文化传媒（北京）有限公司新华万维国际文化传媒（北京）有限公司简称新华万维公司是由新华书店总店注资，致力于打造全球出版传媒产业交流与合作平台，提供国际出版产业经营与发展信息的综合性服务的外向型传播公司。当前的主营业务包括《国际出版周报》、《图书馆报》、《新华书目报》、《国际出版月刊》（英文）、《发行界》纸媒，“国际出版网（http://ipubl.com）”、“图书馆报网（http://www.cpin.com.cn/）”微信公众号（国际出版：yeeipw    图书馆报：tushuguanbao   书情参考：xhsmb1964）等新媒体，“国际出版企业高层论坛”、“全国馆社高层论坛”、“全国少儿阅读峰会”等品牌会议。4.新华数创传媒科技发展有限公司北京新华数创传媒科技有限公司是从新华书店总店信息中心分立出来的高科技传媒企业。公司秉承了原总店信息中心的技术优势和行业经验，为出版发行行业提供了强有力的技术支持和广阔的市场平台,公司宗旨是以用数字技术构建高科技支撑的出版系统，以数字技术改造和提升我国传统出版业的整体水平，尽快实现我国出版业现代化为己任，顺应数字化、信息化、网络化趋势，推进新闻出版业转型和升级。5.新华文博物业管理有限公司北京新华文博物业管理有限公司于1992年10月由新华书店总店出资成立，2014年12月转为公司制企业，注册资金，600万元，系新华书店总店旗下的国有独资公司，中央一级企业。 公司内部机构：综合办公室、市场拓展部、业务工程部、项目管理部、客户服务部等。公司现有员工71人，其中管理人员6人、各类专业技术人员46人。 公司主要客户：中国出版集团公司、阜外心血管病医院、人民医院、新华书店总店、新华出版物流通有限公司、邮区中心局、中新华文化传媒公司，北京中资合资有限公司、中新华国际旅行社、中新华教育科技有限公司等单位;小区物业有车公庄、北礼士路、东堂子、大柳树、马连道等。 公司坚持“以信誉求生存、以品牌赢市场、以质量促发展”的经营原则;坚持 “业主第一、信誉至上”的经营宗旨;坚持“更快、更好、更周到”的服务标准;坚持“忠诚、团结、进取”的企业精神，努力塑造“新华文博”物业管理品牌，创立北京乃至全国物业管理服务行业的知名企业。 服务宗旨：业主第一、信誉至上 企业精神：忠诚、团结、进取 质量方针：更快、更好、更周到 服务理念：以顾客为关注焦点，不断完善，持续改进。6. 新华维邦文化资产管理有限责任公司新华出版物流通有限公司是由中国出版集团所属新华书店总店同人民文学出版社、商务印书馆、中国大百科全书出版社、生活?读书?新知三联书店等国内著名出版社共同投资组建的现代公司制企业，是中央一级图书、音像、电子出版物发行的文化企业。公司具有丰富的行业营销经验，全面接手新华书店总店几十年来构筑的遍布全国的销售网络、仓储物流运输网络、资金结算网络和信息支持系统。具有体制全新、机制灵活的优势和集约化、规模化经营的基础。公司以图书为经营主业，涉及文化、科技和教育等相关产业，立足出版发行、策划及开展泛文化的经营活动。 公司注册资金三亿元人民币，为全资国有文化企业。公司经营范围为国内版图书、报刊、电子出版物的发行业务;文化产业项目的策划宣传、物流运输业务;与文化相关的各种业务等。 随着科学技术的迅猛发展，中国的图书市场进行深刻的变革，新华出版物流通有限公司也经历着前所未有的考验与挑战。在中央有关文化体制改革、促进文化繁荣发展的精神指引下，在中国出版集团、新华书店总店的关心指导下，公司将不断进取，以实事求是、勇于创新的精神把公司打造成为有创新能力和可持续发展能力的现代企业。					",北京西城北礼士路135号院7号楼2层,						岗位职责：1.负责电商平台日常数据统计工作。2.负责电商数据的抓取，抽取、消重、分类、聚类、过滤等业务的编码实现。3.完成上级交办的各项工作。任职资格：1.本科及以上学历，一年以上 Python 开发经验，熟悉网络编程、HTTP 协议。2.熟悉 HTML、DOM、XPath、CSS、JavaScript。3.熟悉网页抓取原理及技术，熟悉正则表达式，从结构化的和非结构化的数据中获取信息。4.熟练使用 Git，熟悉 Pull Request 工作流。5.拥有良好的代码习惯，结构清晰，命名规范，逻辑性强。6.善于思考，能独立分析和解决问题。7.责任心强，具备良好的团队合作精神和承受压力的能力。8.大学本科及以上学历。																		,本科,2年经验,五险二金带薪年休假免费早中餐其他福利年终奖金定期体检,招若干人
8,北京,1-2万/月,Python Developer,瞬联软件科技（北京）有限公司 CIeNET Technologies,1000-5000人,外资（欧美）,						瞬联软件科技（英：CIeNET Technologies）是全球领先的软件咨询服务供应商，提供专业创新的技术咨询、软件研发和解决方案服务，主要客户为财富杂志500强跨国企业。瞬联美国总部主要负责项目管理、需求分析及系统设计；技术研发和测试中心等支持服务系统则以中国为主要基地。瞬联拥有丰富的全球化合作经验及完备的研发设施，严格遵循CMMI和ISO质量体系保证流程，对软件研发生命周期进行全程控制，为客户提供从理念到实践的一整套创新解决方案。瞬联专注于培育专业研发团队人才，为客户提供高质量的解决方案，整体满意程度超越客户期望。多年来，瞬联深入了解客户需求，致力发展长期稳定的合作关系，以高质量、准时交付、灵活合作模式及客户至上的服务理念赢得合作伙伴信任。瞬联中国总部设于北京，业务遍及上海、南京、杭州、成都、武汉、深圳、广州、台北、美国芝加哥和硅谷等。瞬联为来自北美、欧洲和亚洲等地的跨国企业提供技术服务，其中亚洲地区的客户当中有90%的企业总部是在亚洲区之外。瞬联的三大核心价值观(质量、真诚、领导能力) 成功地将瞬联塑造成为值得客户信赖的合作伙伴。更多信息请登录www.cienet.com.cn					,北京,"						<span>  <span>  <span>Your tasks<span>：  <span>?<span>Act as a developer in our SCRUM team  <span>?<span>Develop software solutions for automated tests  <span>?<span>Develop internal tool  <span>  <span>Your qualifications<span>：  <span>Programming skills (Python, SQL, JavaScript)  <span>?<span>Familiar with C++ or Java  <span>?<span>Web development experience preferred  <span>?<span>Experience in problem solving (IT) and a creative mindset  <span>?<span>High levels of motivation and reliability  <span>?<span>Fluent in English																		",本科,无工作经验,周末双休带薪年假五险一金弹性工作,招若干人
9,北京,1.5-2万/月,Python高级开发工程师,北京棣南新宇科技有限公司,50-150人,外资（非欧美）,						——公司简介——棣南公司，是一家认真做产品的软件公司，拥有非常丰富的自主研发经验。公司自1989年成立起，始终用心协助客户提高生产力，致力为人类社会创造实实在在的价值。我们是PDF技术的领导厂商，向以「文电通」PDF系列产品闻名于世。这是我们耕耘了二十多年（并且会继续耕耘下去）的金字招牌，在PDF领域市场份额居于世界第二。另外，还有「Teampel」产品，是一套专为企业用户设计的项目导向型即时通讯软件。Teampel大幅降低沟通成本、集中管理内部资源，使团队工作效率巨量提升。项目导向的创新设计，完美凝聚团队的力量。我们的办公室位于海淀黄庄，地铁4、10号线在此交汇，交通便利。我们提供单纯舒适的工作环境，和具竞争力的薪酬福利。在棣南，可以安心做技术。日起有功，成就一生的事业。我们乐意培植年轻人增进实力，也盼望年轻人能长长久久地与公司一同成长，成为独当一面的人才。我们有一个很棒的团队，也有很好的工作氛围。精诚团结，靠谱实在，勇于创新突破！诚挚欢迎有志“把事情做得更好”、具有强烈责任心的您，加入我们的行列！公司有深厚的传承，因历史沿革篇幅较长，敬请访问Gaaiho官网以及Teampel官网详细了解，谢谢！——产品官网——文电通PDF家族Gaaiho官网：http://www.gaaiho.com注：旧版DocumCom PDF系列产品（已停售），请访问旧版官网http://www.pdfwizard.comTP——企业级项目导向型即时通讯软件Teampel官网：http://www.teampel.com——诚聘英才——简历请发送至招聘专用邮箱：jobs@pdfwizard.com诚挚欢迎您加入我们的团队！投递简历说明：1. 请在电子邮件主题栏注明“姓名+申请职位”。2. 对于未通过简历初筛的应聘者，我们可能无法回复，在此先致歉意。棣南公司主页：http://www.gaaiho.com; http://www.teampel.com					,知春路108号豪景大厦A座1401室,						职责： 开发微服务平台系统。 要求：  1.  正规大学本科以上学历。 2.  3年及以上Python开发经验，精通Python开发。 3.  精通Django框架，有实际应用项目经验。 4.  熟悉HTML5，Javascript，Json，熟悉Mysql数据库，熟练使用SQL。 5.  有websocket server开发经验者优先。 6.  有Redis开发、部署经验者优先。 7.  了解HTTP协议，微服务，以及Restful API。 8.  熟悉云服务平台（google，ali），了解服务器的部署和监控，了解负载平衡。 9.  了解敏捷开发，熟悉软件设计模式。																		,本科,3-4年经验,五险一金补充医疗保险专业培训绩效奖金年终奖金定期体检,招若干人
10,北京,2.5-4万/月,Python开发工程师 - 变现业务(职位编号：21620),字节跳动,10000人以上,民营公司,						字节跳动，是全球第一家将人工智能应用到主产品的科技公司。短短6年，我们从最初的一个“今日头条”，已经发展为拥有“抖音”、“西瓜视频”、“火山小视频”、“FaceU”等十几款产品的公司。每天，都有4亿用户通过我们的产品看见更大的世界，记录美好生活。如今，我们正在加速全球化。TikTok、TopBuzz、News Republic等产品已经遍布150多个国家，覆盖75个语种，在40多个国家和地区位居应用商店榜单前列。我们志向远大，旨在打造全球创作与交流平台；我们灵活高效，永远像创业第一天那样思考；我们技术为先，期望通过人工智能应用彻底改变人与信息的连接方式。这里有-最具竞争力的薪酬待遇，五星级三餐下午茶，超燃健身房，最多100个月的年终奖；-扁平化管理，不讲title，不按资排辈，一切要让能力、才华来说话；-极速发展的大平台，让你成为同龄人中的佼佼者；Aim for the highest. Be grounded & courageous. Be open & humble. Be candid & clear. Always day 1加入我们：https://job.bytedance.com/					,北三环西路43号中航广场1号楼,						职位描述:1、负责今日头条商业变现产品后台服务的设计、开发、优化等研发工作，保证产品的质量和开发进度；2、负责客户增长相关技术的设计与实现；3、研究新兴技术，对产品进行持续优化。职位要求:1、本科及以上学历，计算机相关专业，基础知识扎实；2、聪明，学习能力强，有独立解决问题的能力；3、熟悉面向对象编程，掌握java/c++/python/php中的至少一门语言；4、良好的编程习惯，追求极致的代码品质，熟悉常用设计模式和一般项目的开发流程；5、开朗上进，积极沟通，善于团队协作。																		,本科,2年经验,六险一金弹性工作免费三餐租房补贴带薪休假休闲下午茶扁平管理健身瑜伽过亿用户职业大牛,招5人
