,标题,建筑面积,建筑类型,建筑年份,挂牌,上次交易,地区,区域,小区,单价(元/平米),总价(万),户型,楼层,总楼层,关注人数,带看,朝向,装修
0,满五年  南北通透  小区中间位置,119.8,板楼,2006年,2018-03-13,2006-10-23,昌平,回龙观,和谐家园一区,43406,520,3室1厅1厨1卫,底层,6,46,28,南 北,简装
1,2003年新社区  满五年唯一  低总价开间,33.55,塔楼,2002年,2018-08-14,2012-11-21,丰台,草桥,玺萌鹏苑,68257,229,1室0厅1厨1卫,低楼层,24,822,22,北,其他
2,东城公安局大3居带两个大阳台，视野好，满5年唯一,138.09,塔楼,1999年,2018-02-01,2000-06-20,朝阳,惠新西街,惠中园,69955,966,3室1厅1厨1卫,高楼层,24,100,7,东 南 北,精装
3,天乐园安静不临街，精装两居，业主诚意出售可随时签约,86.38,板楼,2004年,2017-07-19,2009-02-24,朝阳,奥林匹克公园,天乐园,71313,616,2室1厅1厨1卫,中楼层,17,731,21,南,精装
4,房子满五年唯一 小区环境优雅 总价低三居室,91,塔楼,1999年,2018-04-28,2003-02-27,海淀,万寿路,万寿路甲15号院五区,95385,868,3室1厅1厨2卫,底层,18,525,13,东 南 北,简装
5,溪城家园  南北通透一居室  顶层带露台,56.37,板塔结合,2010年,2018-06-14,2013-06-13,昌平,立水桥,溪城家园,58365,329,1室1厅1厨1卫,顶层,15,335,24,南 北,精装
6,亚运村 电梯板楼 三轨交汇 邻森林公园,98.59,板楼,2000年,2018-10-31,2002-03-13,朝阳,亚运村,慧忠北里第二社区,65930,650,3室1厅1厨1卫,中楼层,16,428,38,南 西 北,简装
7,靠近地铁8号线，小区中间位置，中间楼层，已经满五年,124.08,板楼,2006年,2018-10-31,2006-10-17,昌平,回龙观,和谐家园一区,43521,540,3室2厅1厨2卫,低楼层,6,1915,57,南 北,简装
8,新龙城 南北通透三居室 中高楼层 精装空闲,113.19,板塔结合,2007年,2018-09-26,2011-01-30,昌平,回龙观,新龙城,52920,599,3室1厅1厨2卫,中楼层,20,17528,37,南 北,精装
9,地铁龙泽站1千米+精装修+中间层两居室+满五年,80.16,板楼,1996年,2018-10-10,2013-10-25,昌平,回龙观,龙华园,49776,399,2室1厅1厨1卫,低楼层,6,109,51,南 北,精装
10,文慧园10号院 2室1厅 560万,64.3,板楼,1980年,2018-08-04,2012-08-24,海淀,新街口,文慧园10号院,87092,560,2室1厅1厨1卫,中楼层,6,128,21,南 北,其他
11,本房是满五唯一的，南北通透的三居室，观景房,117.78,板塔结合,2007年,2018-05-16,2009-05-12,房山,长阳,碧桂园小区C区,29632,349,3室2厅1厨1卫,中楼层,16,109,18,南 北,简装
12,低楼层 南北通透 满五唯一住房,87.15,板楼,2006年,2018-08-18,2008-02-01,门头沟,滨河西区,霁月园,40505,353,2室1厅1厨1卫,低楼层,6,74,54,南 北,简装
13,满五年唯一税费少，带10平米面积，低楼层，采光无遮,49.01,板楼,1983年,2018-10-30,2003-03-19,丰台,北大地,北大街南里,62131,304.5,2室1厅1厨1卫,底层,6,350,38,南 北,简装
14,天通苑中苑，电梯南北3居，商品房满5年,148.29,板楼,2008年,2018-06-13,2009-08-11,昌平,天通苑,天通苑中苑,42485,630,3室2厅1厨2卫,高楼层,10,655,20,南 北,精装
15,满五年家庭名下一套住房，业主诚心出售看房随时,59.5,塔楼,1980年,2018-11-03,2002-04-11,西城,马连道,红莲中里,86891,517,2室1厅1厨1卫,低楼层,16,89,37,东南,简装
16,观音寺北里 2室1厅 240万,66.36,板楼,1998年,2018-11-09,1999-02-10,大兴,观音寺,观音寺北里,36167,240,2室1厅1厨1卫,底层,6,81,29,南 北,精装
17,成寿寺苇子坑小区，满五唯一，一居室，东南朝向。,53.97,板楼,1996年,2018-06-13,2007-12-12,丰台,成寿寺,苇子坑甲1号院,48175,260,1室1厅1厨1卫,低楼层,6,157,9,南,精装
18,南北通透两居室 2010年建成 板楼有电梯,88.14,板塔结合,2009年,2018-10-31,2012-02-06,丰台,玉泉营,鸿业兴园二区,52190,460,2室1厅1厨1卫,高楼层,18,1684,58,南 北,简装
19,大井东里南北通透两居室，卧室面积大，采光好，随时签,62.81,板楼,1995年,2018-08-16,2013-07-01,丰台,岳各庄,大井东里,45853,288,2室1厅1厨1卫,顶层,6,55,18,南 北,简装
20,奥林匹克花园一期 满五年唯一164平三居室 一层带花园,163.79,板楼,2003年,2017-11-17,2004-06-15,朝阳,东坝,奥林匹克花园一期,85476,1400,3室3厅1厨2卫,底层,6,1464,36,南 北,精装
21,房子满五年唯一商品房 南向高楼层采光好,91.82,板塔结合,2009年,2018-11-05,2012-02-15,丰台,丽泽,保利百合,81682,750,2室1厅1厨1卫,高楼层,21,369,42,南,简装
22,东城区2000年新小区 东向二居 满五唯一,71.47,塔楼,2001年,2018-08-02,2003-08-08,东城,永定门,西革新里112号院,61425,439,2室1厅1厨1卫,中楼层,19,178,23,东,简装
23,全明格局的一居室，南北通透，业主诚售价位可谈！,58.57,板楼,1994年,2018-11-06,2013-11-18,昌平,回龙观,龙华园,53782,315,1室1厅1厨1卫,底层,6,90,23,南 北,精装
24,满五年 南北通透 采光好 新城商务区,80.81,板楼,2003年,2018-03-24,2012-12-25,通州,武夷花园,西上园四区,51356,415,2室1厅1厨1卫,高楼层,7,153,14,南 北,简装
25,北京西城月坛99年南北通透大两居，双阳台，采光无遮挡,77.7,板楼,1999年,2018-08-21,2013-09-09,西城,月坛,月坛北街25号院,126127,980,2室1厅1厨1卫,底层,6,9350,33,南 北,精装
26,苹果社区南向两居室 中间层 采光充足 拎包入住,96.06,板塔结合,2005年,2018-07-05,2006-07-11,朝阳,双井,苹果社区南区,83282,800,2室1厅1厨1卫,中楼层,22,605,56,南,精装
27,首邑上城  东南向两居室 全明格局,101.24,板楼,2007年,2018-09-15,2009-08-03,大兴,枣园,首邑上城,45437,460,2室1厅1厨1卫,中楼层,15,70,31,东南,简装
28,80.93㎡ 央产房 独门独院 楼梯更新 加装电梯,80.93,板楼,1992年,2018-10-24,2002-05-20,朝阳,惠新西街,惠新西街甲17号院,69937,566,2室1厅1厨1卫,低楼层,6,59,14,南,简装
29,骑河楼 满五年唯一 总价低位置好 正对公园景观好,41.31,板楼,1987年,2017-12-05,2011-02-17,东城,灯市口,骑河楼大街,120068,496,1室1厅1厨1卫,中楼层,6,220,6,东,精装
30,满五年唯一 精装修 西向大两居 带车位,141.08,塔楼,2007年,2018-06-27,2011-06-16,朝阳,亚运村,荣尊堡国际俱乐部公寓,70741,998,2室2厅1厨2卫,中楼层,24,275,30,西,精装
31,复兴路乙6号院经典小两居一层带院,52.5,塔楼,1986年,2018-09-04,2002-04-28,海淀,军博,复兴路乙6号院,86667,455,2室1厅1厨1卫,底层,16,780,34,西南,简装
32,西罗园洋桥，正规两居室，年代新，业主变现诚意出售,67.34,板塔结合,2005年,2018-09-13,2006-11-22,丰台,西罗园,风格景园,55688,375,2室1厅1厨1卫,中楼层,14,156,19,东 北,简装
33,精装两居 一层送地下室 临近地铁 临近滨河公园 优质房,81.1,板楼,2007年,2018-10-29,2008-12-17,大兴,黄村北,金惠园三里,53021,430,2室1厅1厨1卫,底层,6,18,25,南,精装
34,龙禧一正规三居室！中间楼层和位置！业主诚心出售！,105,板楼,2002年,2018-10-18,2003-09-23,昌平,回龙观,龙禧苑一区,45715,480,3室1厅1厨1卫,中楼层,7,67,34,南 北,简装
35,中间楼层 无遮挡 业主配合转商 精装修 首付要求低,82.35,板楼,2011年,2018-10-28,2013-08-20,朝阳,东坝,朝阳新城六区,52217,430,2室2厅1厨1卫,中楼层,21,79,35,东南,精装
36,西南两居室，一梯三户，高楼层，视野好,84.04,板塔结合,2010年,2018-07-06,2013-04-11,昌平,立水桥,溪城家园,47002,395,2室1厅1厨1卫,高楼层,15,701,30,西南,简装
37,满五年家庭名下唯一住房，次顶层，视野好,80.84,板塔结合,2010年,2018-08-26,2012-12-10,昌平,立水桥,溪城家园,51955,420,2室1厅1厨1卫,高楼层,15,265,31,南,精装
38,一层 南北通透 两居室 满五年,89.74,板楼,2005年,2018-06-10,2008-06-30,房山,良乡,北潞冠家园,35102,315,2室1厅1厨1卫,底层,6,29,32,南 北,简装
39,南北通透三居室，双卧客厅朝南，正对景观湖。,160.33,板塔结合,2009年,2018-05-13,2013-08-22,海淀,西三旗,富力桃园C区,64243,1030,3室2厅1厨2卫,低楼层,20,451,22,南 北,精装
40,柏林经典一改二，满五唯一，可直接入住,67.26,板楼,2004年,2018-10-29,2009-06-17,朝阳,常营,柏林爱乐二期,60958,410,2室1厅1厨1卫,高楼层,11,83,27,东,简装
41,一层带花园 三面采光 满五年 小区中间位置,119.85,板楼,1996年,2017-12-27,2001-01-04,昌平,北七家,西湖新村,34877,418,3室2厅1厨1卫,底层,7,282,25,南 西 北,简装
